0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,
3.013066667,2.679416667,2.099333333,1.939266667,1.912633333,1.921766667,1.56535,1.797433333,1.592483333,3.198416667,3.344840909,3.603596491,6.482,5.570818182,4.153583333,4.8423,3.42865,3.732316667,4.1048,3.257216667,3.04435,3.073116667,4.47545,4.623466667,
3.062133333,2.474483333,2.017483333,1.5728,1.63255,1.67985,1.295033333,2.4288,2.77435,3.365716667,2.417866667,1.949280702,7.267327586,2.1643,2.1817,2.643133333,2.345983333,3.3378,4.10685,4.044016667,3.761283333,3.30575,3.171916667,2.658883333,
2.222883333,3.242633333,2.562183333,2.34845,2.00295,1.9343,1.55005,1.854083333,2.166983333,1.9381,2.333723404,2.046583333,1.841533333,2.25635,2.861777778,4.435630435,3.654833333,2.484466667,2.084766667,2.844733333,2.97625,2.586466667,2.573483333,2.52415,
2.242466667,1.159616667,1.062716667,1.04945,0.830816667,0.963183333,2.274416667,1.510533333,1.3879,2.00885,2.36585,1.478266667,3.071983333,2.522616667,1.684033333,1.640983333,2.18895,2.254683333,2.456316667,2.52445,2.25625,2.17555,2.353433333,2.057983333,
1.51705,0.790033333,1.0665,0.750066667,1.0221,0.765516667,1.130166667,1.639666667,2.874466667,3.07655,1.760183333,1.86765,2.437016667,3.670166667,3.661166667,2.980416667,3.116333333,3.80065,3.847433333,4.14645,3.795483333,3.7994,3.549683333,3.319266667,
1.885783333,1.211783333,1.820333333,1.135083333,1.118916667,1.133816667,1.332183333,2.893166667,2.60435,2.478333333,1.552,1.5518,1.653883333,2.236883333,3.5969,3.4336,4.6846,4.177266667,2.519733333,2.2662,3.2929,3.19445,2.2234,1.3938,
1.62325,1.267333333,2.025266667,2.6644,2.181583333,1.858283333,1.897233333,1.424383333,1.617066667,1.759327586,1.585833333,4.53085,4.366833333,4.7298,3.352583333,3.096783333,3.96315,4.330666667,3.253283333,2.57655,3.41155,3.544483333,3.203883333,3.192183333,
3.547016667,2.059316667,2.790016667,2.267383333,2.037733333,0.47625,1.620466667,4.0462,5.89973913,4.457074074,1.100766667,4.527255814,2.559366667,2.868483333,7.8032,6.271068966,3.707466667,3.464983333,3.334083333,3.963566667,4.333816667,4.539466667,3.797533333,3.769416667,
2.577133333,1.520016667,1.2746,1.142783333,1.062583333,1.042583333,1.063816667,0.992783333,2.261316667,3.381333333,4.968488889,3.066133333,3.518366667,3.143133333,2.613783333,3.005016667,3.035983333,2.740583333,3.331283333,5.221716981,5.4311,5.331074074,4.15865,2.914116667,
1.9465,1.483883333,1.4581,1.167183333,1.199716667,1.322116667,1.345916667,1.915116667,1.6605,2.803766667,1.2815,1.081983333,1.335916667,1.367383333,2.113166667,2.3493,2.526283333,2.463683333,2.4611,2.399466667,2.117233333,1.8644,1.508383333,1.631416667,
1.299783333,1.134316667,1.030866667,1.074616667,1.024366667,0.722116667,1.014533333,0.7048,0.998716667,0.771916667,1.142933333,1.20615,1.665466667,1.60975,1.978416667,2.269633333,2.581783333,2.196883333,2.416033333,2.486683333,1.91395,1.810733333,1.772633333,1.45335,
1.299783333,1.134316667,1.030866667,1.074616667,1.024366667,0.722116667,1.014533333,0.7048,0.998716667,0.771916667,1.142933333,1.20615,1.665466667,1.60975,1.978416667,2.269633333,2.581783333,2.196883333,2.416033333,2.486683333,1.91395,1.810733333,1.772633333,1.45335,
1.429366667,1.391966667,1.088683333,1.09565,1.03745,1.071383333,1.001666667,0.746716667,1.018916667,1.13505,1.205666667,1.3867,1.84555,2.05685,2.53835,2.40815,2.834483333,2.819933333,2.66045,2.6605,2.339266667,2.134333333,1.85775,1.5367,
